지표연도,시도,시군구,표준화 항생제 사용량
2008,전국,전국,26.91
2009,전국,전국,27.54
2010,전국,전국,28.32
2011,전국,전국,27.59
2012,전국,전국,28.07
2013,전국,전국,27.87
2014,전국,전국,28.83
2015,전국,전국,28.76
2016,전국,전국,29.94
2017,전국,전국,29.33
2018,전국,전국,29.97
2019,전국,전국,30.53
2008,서울특별시,전체,25.68
2008,부산광역시,전체,26.57
2008,대구광역시,전체,26.8
2008,인천광역시,전체,27.01
2008,광주광역시,전체,29.55
2008,대전광역시,전체,27.97
2008,울산광역시,전체,27.36
2008,경기도,전체,26.88
2008,강원도,전체,25.88
2008,충청북도,전체,28.44
2008,충청남도,전체,27.56
2008,전라북도,전체,27.95
2008,전라남도,전체,28.81
2008,경상북도,전체,26.74
2008,경상남도,전체,26.95
2008,제주특별자치도,전체,29.76
2009,서울특별시,전체,26.23
2009,부산광역시,전체,27.44
2009,대구광역시,전체,26.54
2009,인천광역시,전체,27.93
2009,광주광역시,전체,29.69
2009,대전광역시,전체,28.13
2009,울산광역시,전체,28.22
2009,경기도,전체,27.61
2009,강원도,전체,27.06
2009,충청북도,전체,28.99
2009,충청남도,전체,28.11
2009,전라북도,전체,28.66
2009,전라남도,전체,29.47
2009,경상북도,전체,27.16
2009,경상남도,전체,27.77
2009,제주특별자치도,전체,30.21
2010,서울특별시,전체,27.23
2010,부산광역시,전체,27.92
2010,대구광역시,전체,27.41
2010,인천광역시,전체,28.51
2010,광주광역시,전체,31.18
2010,대전광역시,전체,28.77
2010,울산광역시,전체,29.08
2010,경기도,전체,28.56
2010,강원도,전체,27.48
2010,충청북도,전체,30.02
2010,충청남도,전체,28.46
2010,전라북도,전체,29.24
2010,전라남도,전체,30.1
2010,경상북도,전체,27.68
2010,경상남도,전체,28.19
2010,제주특별자치도,전체,30.02
2011,서울특별시,전체,26.59
2011,부산광역시,전체,27.08
2011,대구광역시,전체,27.27
2011,인천광역시,전체,28.18
2011,광주광역시,전체,29.7
2011,대전광역시,전체,28.43
2011,울산광역시,전체,28.12
2011,경기도,전체,27.74
2011,강원도,전체,26.76
2011,충청북도,전체,29.59
2011,충청남도,전체,28.36
2011,전라북도,전체,28.34
2011,전라남도,전체,28.72
2011,경상북도,전체,27
2011,경상남도,전체,27.24
2011,제주특별자치도,전체,28.15
2012,서울특별시,전체,26.93
2012,부산광역시,전체,28.19
2012,대구광역시,전체,27.81
2012,인천광역시,전체,28.49
2012,광주광역시,전체,30.24
2012,대전광역시,전체,28.07
2012,울산광역시,전체,29.39
2012,경기도,전체,27.91
2012,강원도,전체,27.3
2012,충청북도,전체,29.66
2012,충청남도,전체,28.67
2012,전라북도,전체,28.78
2012,전라남도,전체,29.74
2012,경상북도,전체,27.47
2012,경상남도,전체,28.37
2012,제주특별자치도,전체,28.51
2013,서울특별시,전체,26.94
2013,부산광역시,전체,27.54
2013,대구광역시,전체,26.86
2013,인천광역시,전체,28.52
2013,광주광역시,전체,31.02
2013,대전광역시,전체,28.58
2013,울산광역시,전체,28.85
2013,세종특별자치시,전체,31.06
2013,경기도,전체,27.79
2013,강원도,전체,27.02
2013,충청북도,전체,29.37
2013,충청남도,전체,28.84
2013,전라북도,전체,28.89
2013,전라남도,전체,29.82
2013,경상북도,전체,26.39
2013,경상남도,전체,27.5
2013,제주특별자치도,전체,27.88
2014,서울특별시,전체,27.81
2014,부산광역시,전체,28.6
2014,대구광역시,전체,27.71
2014,인천광역시,전체,29.92
2014,광주광역시,전체,31.84
2014,대전광역시,전체,29.5
2014,울산광역시,전체,29.65
2014,세종특별자치시,전체,31.36
2014,경기도,전체,28.77
2014,강원도,전체,27.83
2014,충청북도,전체,30.52
2014,충청남도,전체,29.42
2014,전라북도,전체,29.6
2014,전라남도,전체,30.57
2014,경상북도,전체,27.23
2014,경상남도,전체,28.51
2014,제주특별자치도,전체,29.68
2015,서울특별시,전체,27.08
2015,부산광역시,전체,29.66
2015,대구광역시,전체,27.8
2015,인천광역시,전체,29.51
2015,광주광역시,전체,32.05
2015,대전광역시,전체,29.55
2015,울산광역시,전체,30.73
2015,세종특별자치시,전체,31.39
2015,경기도,전체,28.03
2015,강원도,전체,28.21
2015,충청북도,전체,30.93
2015,충청남도,전체,29.77
2015,전라북도,전체,30.02
2015,전라남도,전체,31.57
2015,경상북도,전체,27.6
2015,경상남도,전체,29.66
2015,제주특별자치도,전체,30.36
2016,서울특별시,전체,28.51
2016,부산광역시,전체,30.22
2016,대구광역시,전체,28.89
2016,인천광역시,전체,30.45
2016,광주광역시,전체,32.53
2016,대전광역시,전체,31.2
2016,울산광역시,전체,31.31
2016,세종특별자치시,전체,33.67
2016,경기도,전체,29.49
2016,강원도,전체,29.77
2016,충청북도,전체,32.7
2016,충청남도,전체,31.18
2016,전라북도,전체,30.8
2016,전라남도,전체,32.4
2016,경상북도,전체,28.59
2016,경상남도,전체,30.14
2016,제주특별자치도,전체,31.71
2017,서울특별시,전체,27.59
2017,부산광역시,전체,30.03
2017,대구광역시,전체,27.97
2017,인천광역시,전체,30.19
2017,광주광역시,전체,32.75
2017,대전광역시,전체,30.67
2017,울산광역시,전체,30.89
2017,세종특별자치시,전체,31.9
2017,경기도,전체,28.66
2017,강원도,전체,29.11
2017,충청북도,전체,32.2
2017,충청남도,전체,30.8
2017,전라북도,전체,30.27
2017,전라남도,전체,32
2017,경상북도,전체,27.96
2017,경상남도,전체,29.8
2017,제주특별자치도,전체,31.09
2018,서울특별시,전체,28.1
2018,부산광역시,전체,30.76
2018,대구광역시,전체,29.07
2018,인천광역시,전체,30.57
2018,광주광역시,전체,33.06
2018,대전광역시,전체,32.13
2018,울산광역시,전체,31.72
2018,세종특별자치시,전체,33.34
2018,경기도,전체,29.12
2018,강원도,전체,29.15
2018,충청북도,전체,33.22
2018,충청남도,전체,31.57
2018,전라북도,전체,31
2018,전라남도,전체,32.24
2018,경상북도,전체,29.03
2018,경상남도,전체,30.54
2018,제주특별자치도,전체,31.37
2019,서울특별시,전체,28.87
2019,부산광역시,전체,31.43
2019,대구광역시,전체,29.11
2019,인천광역시,전체,31.04
2019,광주광역시,전체,35.06
2019,대전광역시,전체,32.96
2019,울산광역시,전체,31.47
2019,세종특별자치시,전체,33.43
2019,경기도,전체,29.82
2019,강원도,전체,28.95
2019,충청북도,전체,33.51
2019,충청남도,전체,32.06
2019,전라북도,전체,31.74
2019,전라남도,전체,33.02
2019,경상북도,전체,29.3
2019,경상남도,전체,30.78
2019,제주특별자치도,전체,31.39
2008,서울특별시,종로구,22.28
2008,서울특별시,중구,23.67
2008,서울특별시,용산구,25.42
2008,서울특별시,성동구,27.04
2008,서울특별시,광진구,25
2008,서울특별시,동대문구,25.51
2008,서울특별시,중랑구,25.99
2008,서울특별시,성북구,25.63
2008,서울특별시,강북구,27.47
2008,서울특별시,도봉구,25.33
2008,서울특별시,노원구,27.28
2008,서울특별시,은평구,26.89
2008,서울특별시,서대문구,26.41
2008,서울특별시,마포구,25.43
2008,서울특별시,양천구,25.44
2008,서울특별시,강서구,27.23
2008,서울특별시,구로구,26.07
2008,서울특별시,금천구,27.4
2008,서울특별시,영등포구,26.36
2008,서울특별시,동작구,25.53
2008,서울특별시,관악구,26.29
2008,서울특별시,서초구,23.63
2008,서울특별시,강남구,23.08
2008,서울특별시,송파구,25.04
2008,서울특별시,강동구,24.16
2008,부산광역시,중구,24.26
2008,부산광역시,서구,27.43
2008,부산광역시,동구,24.13
2008,부산광역시,영도구,29.65
2008,부산광역시,부산진구,26.62
2008,부산광역시,동래구,25.52
2008,부산광역시,남구,26.45
2008,부산광역시,북구,26.61
2008,부산광역시,해운대구,27.17
2008,부산광역시,사하구,27.3
2008,부산광역시,금정구,25.31
2008,부산광역시,강서구,25.34
2008,부산광역시,연제구,25.65
2008,부산광역시,수영구,25.9
2008,부산광역시,사상구,27.54
2008,부산광역시,기장군,25.19
2008,대구광역시,중구,25.04
2008,대구광역시,동구,26.47
2008,대구광역시,서구,27.35
2008,대구광역시,남구,26.42
2008,대구광역시,북구,26.88
2008,대구광역시,수성구,25.35
2008,대구광역시,달서구,28.02
2008,대구광역시,달성군,27.64
2008,인천광역시,중구,27.1
2008,인천광역시,동구,29.27
2008,인천광역시,남구,26.49
2008,인천광역시,연수구,27.81
2008,인천광역시,남동구,26.68
2008,인천광역시,부평구,28.06
2008,인천광역시,계양구,26.79
2008,인천광역시,서구,26.56
