지표연도,시도,시군구,항생제 처방률
2008,전국,시군구,26.92
2009,전국,전국,25.8
2010,전국,전국,25.47
2011,전국,전국,23.4
2012,전국,전국,22.61
2013,전국,전국,21.89
2014,전국,전국,21.57
2015,전국,전국,21.22
2016,전국,전국,20.57
2017,전국,전국,23.71
2018,전국,전국,22.78
2019,전국,전국,21.99
2008,서울특별시,전체,26.7
2008,부산광역시,전체,25.18
2008,대구광역시,전체,27.06
2008,인천광역시,전체,29.3
2008,광주광역시,전체,29.67
2008,대전광역시,전체,26.46
2008,울산광역시,전체,30.8
2008,경기도,전체,30.44
2008,강원도,전체,24.96
2008,충청북도,전체,25.21
2008,충청남도,전체,23.16
2008,전라북도,전체,21.7
2008,전라남도,전체,22.26
2008,경상북도,전체,25.34
2008,경상남도,전체,26.92
2008,제주특별자치도,전체,28
2009,서울특별시,전체,25.31
2009,부산광역시,전체,24.65
2009,대구광역시,전체,24.95
2009,인천광역시,전체,27.94
2009,광주광역시,전체,27.87
2009,대전광역시,전체,25.16
2009,울산광역시,전체,29.64
2009,경기도,전체,29.37
2009,강원도,전체,24.09
2009,충청북도,전체,24.28
2009,충청남도,전체,22.48
2009,전라북도,전체,20.85
2009,전라남도,전체,21.73
2009,경상북도,전체,24.16
2009,경상남도,전체,25.9
2009,제주특별자치도,전체,27.15
2010,서울특별시,전체,24.97
2010,부산광역시,전체,24.12
2010,대구광역시,전체,24.61
2010,인천광역시,전체,27.21
2010,광주광역시,전체,27.73
2010,대전광역시,전체,24.71
2010,울산광역시,전체,29.38
2010,경기도,전체,29.21
2010,강원도,전체,23.96
2010,충청북도,전체,24.44
2010,충청남도,전체,21.94
2010,전라북도,전체,20.44
2010,전라남도,전체,21.27
2010,경상북도,전체,24
2010,경상남도,전체,25.33
2010,제주특별자치도,전체,25.81
2011,서울특별시,전체,22.86
2011,부산광역시,전체,22.13
2011,대구광역시,전체,22.56
2011,인천광역시,전체,25.15
2011,광주광역시,전체,25.37
2011,대전광역시,전체,23.33
2011,울산광역시,전체,26.66
2011,경기도,전체,26.66
2011,강원도,전체,22.22
2011,충청북도,전체,22.97
2011,충청남도,전체,21.07
2011,전라북도,전체,18.64
2011,전라남도,전체,18.9
2011,경상북도,전체,22.28
2011,경상남도,전체,23.2
2011,제주특별자치도,전체,23.45
2012,서울특별시,전체,21.56
2012,부산광역시,전체,21.51
2012,대구광역시,전체,22.16
2012,인천광역시,전체,24.17
2012,광주광역시,전체,24.88
2012,대전광역시,전체,21.68
2012,울산광역시,전체,26.48
2012,경기도,전체,25.44
2012,강원도,전체,21.27
2012,충청북도,전체,22.62
2012,충청남도,전체,20.78
2012,전라북도,전체,18.46
2012,전라남도,전체,19.36
2012,경상북도,전체,21.85
2012,경상남도,전체,22.97
2012,제주특별자치도,전체,22.9
2013,서울특별시,전체,20.93
2013,부산광역시,전체,20.51
2013,대구광역시,전체,20.65
2013,인천광역시,전체,23.65
2013,광주광역시,전체,24.7
2013,대전광역시,전체,21.14
2013,울산광역시,전체,25.33
2013,세종특별자치시,전체,19.84
2013,경기도,전체,24.74
2013,강원도,전체,20.7
2013,충청북도,전체,21.74
2013,충청남도,전체,20.58
2013,전라북도,전체,18.2
2013,전라남도,전체,18.64
2013,경상북도,전체,20.69
2013,경상남도,전체,22.16
2013,제주특별자치도,전체,21.78
2014,서울특별시,전체,20.6
2014,부산광역시,전체,20.49
2014,대구광역시,전체,20.54
2014,인천광역시,전체,23.39
2014,광주광역시,전체,24.2
2014,대전광역시,전체,20.82
2014,울산광역시,전체,24.81
2014,세종특별자치시,전체,18.54
2014,경기도,전체,24.24
2014,강원도,전체,20.19
2014,충청북도,전체,21.55
2014,충청남도,전체,20.16
2014,전라북도,전체,17.93
2014,전라남도,전체,18.06
2014,경상북도,전체,20.31
2014,경상남도,전체,21.96
2014,제주특별자치도,전체,21.84
2015,서울특별시,전체,19.84
2015,부산광역시,전체,20.67
2015,대구광역시,전체,20.38
2015,인천광역시,전체,22.8
2015,광주광역시,전체,23.91
2015,대전광역시,전체,20.63
2015,울산광역시,전체,24.74
2015,세종특별자치시,전체,25.35
2015,경기도,전체,23.45
2015,강원도,전체,19.87
2015,충청북도,전체,22.01
2015,충청남도,전체,20.25
2015,전라북도,전체,17.85
2015,전라남도,전체,18.25
2015,경상북도,전체,20.07
2015,경상남도,전체,22.06
2015,제주특별자치도,전체,21.73
2016,서울특별시,전체,19.28
2016,부산광역시,전체,19.72
2016,대구광역시,전체,19.66
2016,인천광역시,전체,22.08
2016,광주광역시,전체,22.9
2016,대전광역시,전체,19.78
2016,울산광역시,전체,23.61
2016,세종특별자치시,전체,25.95
2016,경기도,전체,22.75
2016,강원도,전체,19.6
2016,충청북도,전체,21.63
2016,충청남도,전체,19.94
2016,전라북도,전체,17.25
2016,전라남도,전체,17.72
2016,경상북도,전체,19.55
2016,경상남도,전체,21.03
2016,제주특별자치도,전체,21.03
2017,서울특별시,전체,22.07
2017,부산광역시,전체,23.54
2017,대구광역시,전체,22.49
2017,인천광역시,전체,25.12
2017,광주광역시,전체,27.12
2017,대전광역시,전체,22.77
2017,울산광역시,전체,27.46
2017,세종특별자치시,전체,28.13
2017,경기도,전체,25.62
2017,강원도,전체,22.43
2017,충청북도,전체,25.54
2017,충청남도,전체,23.21
2017,전라북도,전체,19.84
2017,전라남도,전체,21.43
2017,경상북도,전체,22.44
2017,경상남도,전체,24.9
2017,제주특별자치도,전체,23.87
2018,서울특별시,전체,20.84
2018,부산광역시,전체,22.38
2018,대구광역시,전체,21.72
2018,인천광역시,전체,23.71
2018,광주광역시,전체,25.95
2018,대전광역시,전체,22.23
2018,울산광역시,전체,26.58
2018,세종특별자치시,전체,28.72
2018,경기도,전체,24.44
2018,강원도,전체,21.58
2018,충청북도,전체,25.09
2018,충청남도,전체,22.79
2018,전라북도,전체,19.38
2018,전라남도,전체,20.65
2018,경상북도,전체,22.26
2018,경상남도,전체,24.34
2018,제주특별자치도,전체,22.82
2019,서울특별시,전체,20.11
2019,부산광역시,전체,21.32
2019,대구광역시,전체,20.82
2019,인천광역시,전체,22.79
2019,광주광역시,전체,25.88
2019,대전광역시,전체,21.29
2019,울산광역시,전체,25.51
2019,세종특별자치시,전체,28.06
2019,경기도,전체,23.56
2019,강원도,전체,20.49
2019,충청북도,전체,24.54
2019,충청남도,전체,22.04
2019,전라북도,전체,18.9
2019,전라남도,전체,20.25
2019,경상북도,전체,21.42
2019,경상남도,전체,23.47
2019,제주특별자치도,전체,22.1
2008,서울특별시,종로구,16.14
2008,서울특별시,중구,25.58
2008,서울특별시,용산구,28
2008,서울특별시,성동구,28.88
2008,서울특별시,광진구,28.84
2008,서울특별시,동대문구,22.62
2008,서울특별시,중랑구,28.41
2008,서울특별시,성북구,28.13
2008,서울특별시,강북구,29.76
2008,서울특별시,도봉구,29.3
2008,서울특별시,노원구,28.48
2008,서울특별시,은평구,28.19
2008,서울특별시,서대문구,24.77
2008,서울특별시,마포구,29.76
2008,서울특별시,양천구,29.27
2008,서울특별시,강서구,30.14
2008,서울특별시,구로구,29.77
2008,서울특별시,금천구,32.43
2008,서울특별시,영등포구,27.72
2008,서울특별시,동작구,26.37
2008,서울특별시,관악구,29.27
2008,서울특별시,서초구,22.83
2008,서울특별시,강남구,22.35
2008,서울특별시,송파구,26.02
2008,서울특별시,강동구,23.14
2008,부산광역시,중구,21.11
2008,부산광역시,서구,17.72
2008,부산광역시,동구,16.64
2008,부산광역시,영도구,26.95
2008,부산광역시,부산진구,24.51
2008,부산광역시,동래구,24.14
2008,부산광역시,남구,27.21
2008,부산광역시,북구,28.55
2008,부산광역시,해운대구,28.6
2008,부산광역시,사하구,28.36
2008,부산광역시,금정구,26.87
2008,부산광역시,강서구,25.93
2008,부산광역시,연제구,22.08
2008,부산광역시,수영구,25.21
2008,부산광역시,사상구,29.43
2008,부산광역시,기장군,21.93
2008,대구광역시,중구,16.87
2008,대구광역시,동구,25.49
2008,대구광역시,서구,26.99
2008,대구광역시,남구,17.92
2008,대구광역시,북구,31.41
2008,대구광역시,수성구,29.61
2008,대구광역시,달서구,30.97
2008,대구광역시,달성군,29.91
2008,인천광역시,중구,21.49
2008,인천광역시,동구,25.4
2008,인천광역시,남구,26.88
2008,인천광역시,연수구,34.24
2008,인천광역시,남동구,28.87
2008,인천광역시,부평구,31.5
2008,인천광역시,계양구,29.3
2008,인천광역시,서구,32.83
2008,인천광역시,강화군,18.32
2008,인천광역시,옹진군,11.03
2008,광주광역시,동구,20.91
2008,광주광역시,서구,33.06
2008,광주광역시,남구,25.95
2008,광주광역시,북구,28.92
2008,광주광역시,광산구,36.25
2008,대전광역시,동구,25.37
2008,대전광역시,중구,21.05
2008,대전광역시,서구,27.16
2008,대전광역시,유성구,31.02
2008,대전광역시,대덕구,30.43
2008,울산광역시,중구,33.06
2008,울산광역시,남구,30.48
2008,울산광역시,동구,26.15
2008,울산광역시,북구,34.68
2008,울산광역시,울주군,32.72
2008,경기도,수원시,30.54
2008,경기도,성남시,26.7
2008,경기도,의정부시,30.41
2008,경기도,안양시,31.58
2008,경기도,부천시,28.66
2008,경기도,광명시,31.23
2008,경기도,평택시,27.13
2008,경기도,동두천시,30.5
2008,경기도,안산시,31.27
2008,경기도,고양시,27.89
2008,경기도,과천시,26.16
2008,경기도,구리시,32.16
2008,경기도,남양주시,33.83
2008,경기도,오산시,34.84
2008,경기도,시흥시,39.12
2008,경기도,군포시,32.24
2008,경기도,의왕시,31.9
2008,경기도,하남시,33.57
2008,경기도,용인시,33.46
2008,경기도,파주시,29.43
2008,경기도,이천시,32.88
2008,경기도,안성시,27.04
2008,경기도,김포시,31.91
2008,경기도,화성시,35.7
2008,경기도,광주시,33.77
2008,경기도,양주시,37.48
2008,경기도,포천시,26.99
2008,경기도,여주군,22.74
2008,경기도,연천군,19.4
2008,경기도,가평군,19.43
2008,경기도,양평군,20.88
2008,강원도,춘천시,22.75
2008,강원도,원주시,29.84
2008,강원도,강릉시,21.07
2008,강원도,동해시,27.52
2008,강원도,태백시,28.49
2008,강원도,속초시,26.19
2008,강원도,삼척시,22.09
2008,강원도,홍천군,22.1
2008,강원도,횡성군,22.9
2008,강원도,영월군,24.9
2008,강원도,평창군,21.27
2008,강원도,정선군,19.6
2008,강원도,철원군,26.33
2008,강원도,화천군,25
2008,강원도,양구군,23.88
2008,강원도,인제군,31.42
2008,강원도,고성군,19.94
2008,강원도,양양군,16.65
2008,충청북도,청주시,27.99
2008,충청북도,충주시,26.56
2008,충청북도,제천시,22.67
2008,충청북도,보은군,14.8
2008,충청북도,옥천군,17.09
2008,충청북도,영동군,20.77
2008,충청북도,증평군,25.84
2008,충청북도,진천군,29.91
2008,충청북도,괴산군,11.69
2008,충청북도,음성군,19.31
2008,충청북도,단양군,14.1
2008,충청남도,천안시,29.14
2008,충청남도,공주시,21.18
2008,충청남도,보령시,21.82
2008,충청남도,아산시,27.42
2008,충청남도,서산시,23.22
2008,충청남도,논산시,19.44
2008,충청남도,계룡시,35.67
2008,충청남도,금산군,17.93
2008,충청남도,연기군,21.13
2008,충청남도,부여군,15.59
2008,충청남도,서천군,14.59
2008,충청남도,청양군,15.05
2008,충청남도,홍성군,16.19
2008,충청남도,예산군,20.27
2008,충청남도,태안군,21.56
2008,충청남도,당진군,23.69
2008,전라북도,전주시,23.41
2008,전라북도,군산시,26.49
2008,전라북도,익산시,26.04
2008,전라북도,정읍시,16.94
2008,전라북도,남원시,17.92
2008,전라북도,김제시,15.37
2008,전라북도,완주군,21.27
2008,전라북도,진안군,9.97
2008,전라북도,무주군,14.84
2008,전라북도,장수군,14.95
2008,전라북도,임실군,14.6
2008,전라북도,순창군,13.44
2008,전라북도,고창군,14.59
2008,전라북도,부안군,17.86
2008,전라남도,목포시,25.13
2008,전라남도,여수시,26.84
2008,전라남도,순천시,28.66
2008,전라남도,나주시,21.64
2008,전라남도,광양시,31.7
2008,전라남도,담양군,14.54
2008,전라남도,곡성군,13.98
2008,전라남도,구례군,15.74
2008,전라남도,고흥군,17.48
2008,전라남도,보성군,15.55
2008,전라남도,화순군,22.52
